Price,Address,Property Type,Beds,Baths,Car,Inspection Time,Sold Date,Agent,RE_URL
"$650,000 - $695,000","21 Victoria Place, Pakenham",House,4,2,2,,,Matt Clark,https://www.realestate.com.au/property-house-vic-pakenham-146586944
"$520,000 - $572,000","1 Arnica Close, Hampton Park",House,3,2,2,,,Javid Zada,https://www.realestate.com.au/property-house-vic-hampton+park-146825984
"$649,000","21 Golden Avenue, Warragul",House,4,2,2,,,Geoff Quirk,https://www.realestate.com.au/property-house-vic-warragul-146722700
"$620,000 - $660,000","8  Birch Court, Warragul",House,4,2,2,,,Clare Rocke,https://www.realestate.com.au/property-house-vic-warragul-146019964
"$630,000-$693,000 - Corner Block.","5 Valley Road, Frankston",House,3,2,2,,,Luke Magree,https://www.realestate.com.au/property-house-vic-frankston-146560908
"$600,000 - $660,000","29A Scotsburn Way, Endeavour Hills",House,3,2,1,Inspection Tue 17 Dec 5:30 pm,,Rohin Arora,https://www.realestate.com.au/property-house-vic-endeavour+hills-146721740
"$650,000 - $715,000","8 Hopkins Street, Clyde",House,4,2,2,,,Isha Dhillon,https://www.realestate.com.au/property-house-vic-clyde-146197168
"$630,000 to $650,000","40 Pepper Crescent, Drouin",House,4,2,2,,,Stuart Brock,https://www.realestate.com.au/property-house-vic-drouin-144758528
"$595,000 - $635,000","42 Sienna Way, Pakenham",House,3,2,2,,,Andrew Carlow,https://www.realestate.com.au/property-house-vic-pakenham-146584712
"$580,000 - $620,000","8 Brodie Mews, Beaconsfield",House,3,2,1,Inspection tomorrow 5:00 pm,,Lily Young,https://www.realestate.com.au/property-house-vic-beaconsfield-146812228
"$565,000 - $620,000 - BY APPOINTMENT ONLY","6 Angus Court, Pakenham",House,3,2,1,,,Stacey Woodfield,https://www.realestate.com.au/property-house-vic-pakenham-145876996
"$590,000 - $640,000","6 Weir Terrace, Officer",House,4,2,1,,,Gavin Staindl,https://www.realestate.com.au/property-house-vic-officer-146823572
,"17 Botham Crescent, Pakenham",House,4,2,2,,,Pardeep Singh,https://www.realestate.com.au/property-house-vic-pakenham-146016712
"$640,000 - $670,000","21 Boyd Avenue, Warragul",House,4,2,2,,,Stephanie Nash,https://www.realestate.com.au/property-house-vic-warragul-146657612
"$630,000 - $680,000","53 Valencia Circuit, Cranbourne",House,3,2,2,,,Darren Saxon,https://www.realestate.com.au/property-house-vic-cranbourne-146582880
"$620,000 - $680,000","3 Farmdale Road, Pakenham",House,4,2,2,,,Daniel Boyle,https://www.realestate.com.au/property-house-vic-pakenham-146821964
"$640,000 - $680,000","22 Bronnie Street, Clyde North",House,4,2,2,,,Ben Duke,https://www.realestate.com.au/property-house-vic-clyde+north-146812484
"$640,000 - $680,000","12 Pirita Place, Cranbourne West",House,4,2,2,,,Ben Doughton,https://www.realestate.com.au/property-house-vic-cranbourne+west-146716804
,"14 Honeybrook Lane, Clyde",House,3,2,2,,,Dilshan Wijerathna,https://www.realestate.com.au/property-house-vic-clyde-146564852
"$620,000 - $660,000","15 Laburnum Grove, Doveton",House,3,2,2,Inspection Wed 18 Dec 5:00 pm,,Fatima Rezai,https://www.realestate.com.au/property-house-vic-doveton-144511616
"$630,000 - $693,000","6 Magenta Street, Clyde North",House,4,2,2,,,Tony Muaremov,https://www.realestate.com.au/property-house-vic-clyde+north-146715808
"$580,000 - $620,000","10 Maidenhair Drive, Warragul",House,4,2,2,,,Dave Clark,https://www.realestate.com.au/property-house-vic-warragul-146819724
"$600,000 - $660,000","3 Wicket Road, Clyde",House,3,2,2,,,Jonathan Mallas,https://www.realestate.com.au/property-house-vic-clyde-146715624
"$650,000 - $710,000","12/290 Centre Road, Narre Warren South",House,3,2,2,Inspection Wed 18 Dec 5:30 pm,,Joanne O'Connor,https://www.realestate.com.au/property-house-vic-narre+warren+south-146819480
"$630,000 - $690,000","2 Viewside Way, Hampton Park",House,3,2,2,Inspection tomorrow 9:30 am,,Nalaka Weerakoon,https://www.realestate.com.au/property-house-vic-hampton+park-146819256
