Price,Address,Property Type,Beds,Baths,Car,Inspection Time,Sold Date,Agent,Number of listings
"$580,000 - $620,000","119 Willow Glen Boulevard, Cranbourne",House,3,2,2,,,Sushant Gupta,151-175 of 574 properties
"$649,000 - $675,000","2 Catees Street, Clyde North",House,3,2,2,Inspection Tue 17 Dec 5:00 pm,,Nandana Peiris,151-175 of 574 properties
"$550,000 - $570,000","41 Proctor Road, Longwarry",House,3,2,2,,,Karen McCormick,151-175 of 574 properties
"$625,000 to $675,000","1 Lemon Thyme Way, Lynbrook",House,3,2,1,,,James Fernando,151-175 of 574 properties
"$580,000 - $620,000","23 Pendula Place, Pakenham",House,3,2,2,,,Sam Paynter,151-175 of 574 properties
"$560,000-$616,000","21 Mortdale Lane, Clyde North",House,3,2,2,,,Kartik Sangani,151-175 of 574 properties
"$625,000-$650,000","37 Emberwood Road, Warragul",House,4,2,2,,,Kim Durrand,151-175 of 574 properties
,"15 Cabernet Way, Pakenham",House,3,2,2,,,Vicky Singh,151-175 of 574 properties
"$650,000 - $715,000","26 Maddock Drive, Cranbourne East",House,3,2,2,,,Mina Saad,151-175 of 574 properties
"$535,000 - $579,500","14A Henry Street, Koo Wee Rup",House,3,2,2,,,Paul Ringeri,151-175 of 574 properties
"$589,000-$647,000( Must Sell at Auction)","5 Charlotte Place, Cranbourne West",House,4,2,2,,,Sanjay Singh,151-175 of 574 properties
,"162 Monahans Road, Cranbourne",House,3,2,5,,,Navii Sarai,151-175 of 574 properties
"$640,000-$690,000-East Facing!","59 Patrobas Loop, Cranbourne East",House,3,2,2,,,Manpreet Khangura,151-175 of 574 properties
"$590,000","3/15 Mill Street, Pakenham",House,3,2,2,,,Rachael Woodham,151-175 of 574 properties
"$620,000 - $680,000","12 Frances Court, Cranbourne",House,3,2,2,,,Leon Zuidema,151-175 of 574 properties
"$675,000 - $740,000","9 Jefferson Avenue, Cranbourne North",House,4,2,2,,,Manu Sandhu,176-200 of 574 properties
"$649,000","6 Blue Gum Drive, Warragul",House,3,2,2,,,Geoff Quirk,176-200 of 574 properties
