"SA1","Number","Percent (%)","Households",
"21005124338","0","0.0%","75",
"21005124339","0","0.0%","84",
"21005124340","6","5.0%","119",
"21005124341","17","13.6%","125",
"21005124342","0","0.0%","86",
"21005124343","0","0.0%","122",
"21005124344","11","10.3%","107",
"21005124501","0","0.0%","190",
"21005124502","0","0.0%","144",
"21005124503","0","0.0%","111",
"21005124504","9","8.0%","112",
"21005124505","20","13.2%","152",
"21005124506","0","0.0%","159",
"21005124507","16","12.0%","133",
"21005124508","0","0.0%","157",
"21005124509","0","0.0%","101",
"21005124510","0","0.0%","170",
"21005124511","0","0.0%","165",
"21005124512","0","0.0%","121",
"21005124513","0","0.0%","176",
"21005124514","0","0.0%","227",
"21005124515","7","4.7%","149",
"21005124516","0","0.0%","108",
"21005124517","0","0.0%","132",
"21005124518","0","0.0%","144",
"21005124519","0","0.0%","116",
"21005124520","0","0.0%","72",
"21005124521","0","0.0%","100",
"21005124522","0","0.0%","79",
"21005124523","0","0.0%","209",
"21005124524","0","0.0%","127",
"21005124525","3","3.1%","96",
"21005124526","0","0.0%","193",
"21005124527","0","0.0%","95",
"21005124528","0","0.0%","222",
"21005124529","0","0.0%","130",
"21005124531","27","11.8%","228",
"21005124533","0","0.0%","107",
"21005124538","35","15.9%","220",
"21005124539","0","0.0%","152",
"21005124540","0","0.0%","193",
"21005124541","0","0.0%","198",
"21005124542","0","0.0%","162",
"21005124543","0","0.0%","153",
"21005124544","0","0.0%","70",
"21005124545","0","0.0%","79",
"21005124546","0","0.0%","190",
"21005124547","0","0.0%","128",
"21005124548","0","0.0%","138",
"21005124550","0","0.0%","192",
"21005124551","6","5.5%","109",
"21005124552","59","22.7%","260",
"21005124553","0","0.0%","97",
"21005124601","0","0.0%","182",
"21005124602","0","0.0%","180",
"21005124603","0","0.0%","127",
"21005124604","0","0.0%","100",
"21005124605","0","0.0%","100",
"21005124606","0","0.0%","123",
"21005124607","0","0.0%","101",
"21005124608","0","0.0%","106",
"21005124609","0","0.0%","139",
"21005124610","0","0.0%","180",
"21005124611","0","0.0%","131",
"21005124612","0","0.0%","131",
"21005124613","0","0.0%","77",
"21005124614","0","0.0%","148",
"21005124615","0","0.0%","151",
"21005124616","0","0.0%","99",
"21005124617","0","0.0%","168",
"21005124618","0","0.0%","103",
"21005124619","0","0.0%","111",
"21005124620","0","0.0%","116",
"21005124621","0","0.0%","100",
"21005124624","0","0.0%","94",
"21005124625","0","0.0%","208",
"21005124627","0","0.0%","130",
"21005124628","0","0.0%","118",
"21005124629","0","0.0%","77",
"21005124631","0","0.0%","111",
"21005124633","0","0.0%","243",
"21005124634","0","0.0%","125",
"21005124636","0","0.0%","132",
"21005124638","0","0.0%","172",
"21005124639","0","0.0%","129",
"21005124640","0","0.0%","118",
"21005124641","0","0.0%","202",
"21005124642","0","0.0%","146",
"21005124643","0","0.0%","107",
"21005124644","0","0.0%","99",
"21005124645","0","0.0%","165",
"21005124646","0","0.0%","172",
"21005124647","0","0.0%","111",
"21005124648","0","0.0%","160",
"21005124649","3","0.7%","410",
"21005124650","0","0.0%","217",
"21005124651","0","0.0%","52",
"21005124653","0","0.0%","133",
"21005124654","0","0.0%","142",
"21005124655","0","0.0%","102",
"21005124656","0","0.0%","123",
"21005124701","7","4.0%","175",
"21005124702","9","8.0%","112",
"21005124703","8","4.7%","170",
"21005124704","14","6.7%","209",
"21005124705","58","36.7%","158",
"21005124706","26","12.6%","207",
"21005124707","12","13.6%","88",
"21005124708","4","2.5%","159",
"21005124709","3","2.1%","144",
"21005124710","24","16.8%","143",
"21005124711","0","0.0%","147",
"21005124712","3","2.5%","119",
"21005124713","6","3.3%","182",
"21005124714","8","4.7%","172",
"21005124715","22","11.3%","195",
"21005124716","17","12.1%","140",
"21005124717","8","6.0%","134",
"21005124718","4","2.5%","163",
"21005124719","21","18.8%","112",
"21005124720","12","7.6%","157",
"21005124721","13","8.1%","160",
"21005124722","7","3.9%","180",
"21005124723","3","1.8%","171",
"21005124724","3","1.6%","191",
"21005124725","13","6.6%","198",
"21005124726","0","0.0%","130",
"21005124727","3","2.0%","150",
"21005124728","3","2.5%","120",
"21005124729","16","21.9%","73",
"21005124730","7","13.7%","51",
"21005124801","0","0.0%","28",
"21005125001","0","0.0%","215",
"21005125002","5","3.5%","144",
"21005125003","0","0.0%","279",
"21005125004","8","2.8%","286",
"21005125005","0","0.0%","208",
"21005125006","5","3.6%","139",
"21005125007","3","1.0%","287",
"21005125009","0","0.0%","175",
"21005125010","0","0.0%","166",
"21005125011","0","0.0%","181",
"21005125012","0","0.0%","101",
"21005125013","0","0.0%","133",
"21005125014","0","0.0%","174",
"21005125015","0","0.0%","88",
"21005125016","5","4.3%","117",
"21005125018","4","2.7%","149",
"21005144102","5","4.8%","105",
"21005144103","3","2.4%","123",
"21005144104","6","3.5%","173",
"21005144105","3","3.5%","85",
"21005144106","0","0.0%","144",
"21005144107","0","0.0%","102",
"21005144108","0","0.0%","126",
"21005144109","4","3.0%","132",
"21005144110","0","0.0%","106",
"21005144111","9","5.3%","170",
"21005144112","0","0.0%","167",
"21005144113","0","0.0%","127",
"21005144114","0","0.0%","140",
"21005144115","0","0.0%","116",
"21005144116","0","0.0%","104",
"21005144117","0","0.0%","89",
"21005144118","0","0.0%","165",
"21005144119","0","0.0%","190",
"21005144120","0","0.0%","76",
"21005144121","3","1.8%","167",
"21005144122","0","0.0%","98",
"21005144201","0","0.0%","165",
"21005144203","0","0.0%","114",
"21005144204","6","4.7%","129",
"21005144205","0","0.0%","8",
"21005144206","0","0.0%","194",
"21005144207","0","0.0%","168",
"21005144208","0","0.0%","155",
"21005144209","0","0.0%","197",
"21005144210","0","0.0%","81",
"21005144212","0","0.0%","174",
"21005144213","0","0.0%","125",
"21005144214","0","0.0%","143",
"21005144215","0","0.0%","110",
"21005144216","0","0.0%","92",
"21005144217","0","0.0%","99",
"21005144218","0","0.0%","126",
"21005144219","0","0.0%","170",
"21005144220","0","0.0%","116",
"21005144221","0","0.0%","101",
"21005144222","0","0.0%","61",
"21005144223","0","0.0%","123",
"21005144224","0","0.0%","103",
"21005144226","5","2.3%","216",
"21005144227","0","0.0%","114",
"21005144228","0","0.0%","123",
"21005144229","0","0.0%","107",
"21005144230","0","0.0%","115",
"21005144231","0","0.0%","200",
"21005144301","0","0.0%","10",
"21005144303","3","2.2%","137",
"21005144304","0","0.0%","97",
"21005144305","4","2.7%","150",
"21005144306","0","0.0%","91",
"21005144307","5","6.0%","83",
"21005144308","0","0.0%","76",
"21005144309","12","6.5%","184",
"21005144310","0","0.0%","148",
"21005144311","0","0.0%","92",
"21005144312","0","0.0%","119",
