"Hume City, Households renting social housing, 2021, Enumerated,Percentage of: Total households",
"SA1","Number","Percent (%)","Households",
"21005144531","0","0.0%","110",
"21005144532","0","0.0%","154",
"21005144533","0","0.0%","100",
"21005144534","0","0.0%","106",
"21005144535","0","0.0%","78",
"21005144536","0","0.0%","151",
"21005144537","0","0.0%","118",
"21005144538","0","0.0%","130",
"21005144539","0","0.0%","88",
"21005144540","0","0.0%","76",
"21005144541","0","0.0%","131",
"21005144542","0","0.0%","35",
"21005144543","0","0.0%","98",
"21005144544","0","0.0%","101",
"21005144545","0","0.0%","193",
"21005144546","0","0.0%","156",
"21005144547","0","0.0%","129",
"21005144548","5","4.1%","121",
"21005144549","0","0.0%","105",
"21005144550","0","0.0%","196",
"21005144551","0","0.0%","166",
"21005144552","0","0.0%","192",
"21005144553","0","0.0%","125",
"21005144554","0","0.0%","181",
"21005144555","0","0.0%","264",
"21005154201","0","0.0%","141",
"21005154202","0","0.0%","180",
"21005154203","0","0.0%","125",
"21005154204","0","0.0%","143",
"21005154205","0","0.0%","225",
"21005154206","0","0.0%","116",
"21005154207","0","0.0%","136",
"21005154208","3","2.2%","137",
"21005154209","0","0.0%","150",
"21005154210","0","0.0%","126",
"21005154211","0","0.0%","150",
"21005154212","0","0.0%","108",
"21005154213","0","0.0%","110",
"21005154214","0","0.0%","158",
"21005154215","0","0.0%","161",
"21005154216","0","0.0%","140",
"21005154217","0","0.0%","117",
"21005154218","0","0.0%","185",
"21005154219","0","0.0%","121",
"21005154220","0","0.0%","177",
"21005154301","0","0.0%","206",
"21005154302","0","0.0%","166",
"21005154303","0","0.0%","145",
"21005154304","0","0.0%","156",
"21005154305","0","0.0%","159",
"21005154307","0","0.0%","183",
"21005154308","0","0.0%","99",
"21005154309","0","0.0%","189",
"21005154310","0","0.0%","76",
"21005154311","0","0.0%","102",
"21005154312","0","0.0%","218",
"21005154313","0","0.0%","100",
"21005154314","0","0.0%","180",
"21005154315","0","0.0%","187",
"21005154316","0","0.0%","138",
"21005154317","0","0.0%","181",
"21005154318","6","3.0%","201",
"21005154319","0","0.0%","154",
"21005154320","0","0.0%","136",
"21005154321","0","0.0%","164",
"21005154322","0","0.0%","202",
"21005154323","0","0.0%","231",
"21005154324","12","4.7%","253",
"21005154325","0","0.0%","147",
"21005154401","0","0.0%","176",
"21005154402","0","0.0%","145",
"21005154403","0","0.0%","108",
"21005154404","0","0.0%","77",
"21005154405","0","0.0%","125",
"21005154407","0","0.0%","138",
"21005154408","3","3.9%","77",
"21005154409","3","2.3%","130",
"21005154410","0","0.0%","104",
"21005154411","0","0.0%","103",
"21005154412","3","2.2%","139",
"21005154413","0","0.0%","108",
"21005154414","0","0.0%","102",
"21005154415","0","0.0%","134",
"21005154416","0","0.0%","119",
"21005154417","9","6.7%","134",
"21005154418","0","0.0%","124",
"21005154419","0","0.0%","121",
"21005154420","5","8.3%","60",
"21005154421","3","2.0%","151",
"21005154422","0","0.0%","79",
"21005154423","0","0.0%","115",
"21005154424","3","1.9%","159",
"21005154501","0","0.0%","102",
"21005154502","0","0.0%","154",
"21005154503","0","0.0%","79",
"21005154504","0","0.0%","146",
"21005154505","0","0.0%","136",
"21005154506","3","2.4%","124",
"21005154507","0","0.0%","152",
"21005154508","0","0.0%","89",
"21005154509","0","0.0%","67",
"21005154510","0","0.0%","169",
"21005154511","0","0.0%","100",
"21005154512","0","0.0%","111",
"21005154513","0","0.0%","131",
"21005154514","0","0.0%","148",
"21005154515","0","0.0%","73",
"21005154516","0","0.0%","130",
"21005154517","0","0.0%","100",
"21005154518","0","0.0%","41",
"21005154519","4","2.8%","144",
"21005154520","0","0.0%","194",
"21005154521","0","0.0%","123",
"21005154522","3","3.1%","98",
"21005154523","0","0.0%","121",
"21005154524","0","0.0%","111",
"21005154525","0","0.0%","61",
"21005154526","0","0.0%","121",
"21005154527","0","0.0%","145",
"21005154528","0","0.0%","122",
"21005154529","0","0.0%","86",
"21005154530","0","0.0%","116",
"21005154531","0","0.0%","91",
"21005154532","0","0.0%","127",
"Source: Australian Bureau of Statistics, Census of Population and Housing, 2021 (Enumerated data). Compiled and presented in atlas.id by .id (informed decisions). Note: Due to changes in the ABS rules regarding perturbation of small numbers to protect the confidentiality of individuals in 2016, the totals of all SA1s in an area may not equal the total derived from the area as a whole.",
